year_month,neg,neu,pos,sum,neg_pctg,neu_pctg,pos_pctg
2019-03,27,1691,18,1736,1.555299539170507,97.40783410138249,1.0368663594470047
2019-04,63,5042,87,5192,1.2134052388289676,97.11093990755008,1.6756548536209552
2019-05,87,5583,96,5766,1.5088449531737773,96.82622268470344,1.6649323621227887
2019-06,112,6999,117,7228,1.549529607083564,96.83176535694521,1.618705035971223
2019-07,85,6033,82,6200,1.3709677419354838,97.30645161290323,1.3225806451612903
2019-08,113,6143,107,6363,1.7758918749017758,96.54251139399655,1.6815967311016815
2019-09,172,8735,141,9048,1.900972590627763,96.54067197170646,1.5583554376657824
2019-10,118,8261,115,8494,1.3892159171179657,97.25688721450436,1.3538968683776784
2019-11,110,8259,104,8473,1.298241472913962,97.47433022542192,1.2274283016641094
2019-12,84,7165,119,7368,1.1400651465798046,97.24484256243214,1.6150922909880565
2020-01,87,6542,128,6757,1.2875536480686696,96.81811454787628,1.894331804055054
2020-02,69,5770,115,5954,1.1588847833389317,96.90964057776284,1.9314746388982196
2020-03,121,7084,118,7323,1.6523282807592516,96.73631025535983,1.611361463880923
2020-04,92,7250,139,7481,1.2297821146905494,96.91217751637481,1.8580403689346343
2020-05,76,6356,134,6566,1.1574779165397502,96.80170575692964,2.0408163265306123
2020-06,109,6305,192,6606,1.6500151377535575,95.443536179231,2.9064486830154403
2020-07,105,6490,125,6720,1.5625,96.57738095238095,1.8601190476190477
2020-08,109,6479,204,6792,1.604829210836278,95.39163722025913,3.0035335689045937
2020-09,93,6913,133,7139,1.302703459868329,96.83429051687911,1.8630060232525565
2020-10,92,6976,141,7209,1.2761825495907893,96.7679289776668,1.9558884727424053
2020-11,70,6477,93,6640,1.0542168674698795,97.54518072289157,1.4006024096385543
2020-12,96,5896,110,6102,1.5732546705998034,96.62405768600459,1.802687643395608
2021-01,82,5316,85,5483,1.4955316432609884,96.9542221411636,1.5502462155754149
2021-02,45,3828,56,3929,1.1453296004072282,97.42937134130823,1.4252990582845508
2021-03,52,3932,62,4046,1.2852199703410776,97.1824023727138,1.532377656945131
2021-04,67,4238,55,4360,1.536697247706422,97.20183486238533,1.261467889908257
2021-05,52,3668,55,3775,1.3774834437086092,97.16556291390728,1.4569536423841059
2021-06,62,3878,82,4022,1.5415216310293387,96.41969169567379,2.038786673296867
2021-07,42,3790,58,3890,1.0796915167095116,97.4293059125964,1.4910025706940875
2021-08,47,4368,65,4480,1.0491071428571428,97.5,1.4508928571428572
2021-09,77,5169,65,5311,1.4498211259649783,97.32630389757108,1.2238749764639427
2021-10,86,4482,72,4640,1.853448275862069,96.59482758620689,1.5517241379310345
