year_month,neg,neu,pos,sum,neg_pctg,neu_pctg,pos_pctg
2019-03,1,142,5,148,0.6756756756756757,95.94594594594595,3.3783783783783785
2019-04,5,618,8,631,0.7923930269413629,97.93977812995246,1.2678288431061806
2019-05,4,651,13,668,0.5988023952095808,97.45508982035928,1.9461077844311376
2019-06,4,580,1,585,0.6837606837606838,99.14529914529915,0.17094017094017094
2019-07,10,616,6,632,1.5822784810126582,97.46835443037975,0.9493670886075949
2019-08,85,1802,9,1896,4.4831223628691985,95.042194092827,0.47468354430379744
2019-09,44,1053,10,1107,3.974706413730804,95.1219512195122,0.9033423667570009
2019-10,7,608,12,627,1.1164274322169059,96.96969696969697,1.9138755980861244
2019-11,2,521,2,525,0.38095238095238093,99.23809523809524,0.38095238095238093
2019-12,8,650,5,663,1.2066365007541477,98.03921568627452,0.7541478129713424
2020-01,5,556,5,566,0.8833922261484098,98.23321554770318,0.8833922261484098
2020-02,7,600,15,622,1.1254019292604502,96.46302250803859,2.4115755627009645
2020-03,5,552,12,569,0.8787346221441125,97.01230228471002,2.10896309314587
2020-04,4,472,8,484,0.8264462809917356,97.52066115702479,1.6528925619834711
2020-05,2,483,5,490,0.40816326530612246,98.57142857142857,1.0204081632653061
2020-06,4,384,11,399,1.0025062656641603,96.2406015037594,2.756892230576441
2020-07,5,508,8,521,0.9596928982725528,97.50479846449136,1.5355086372360844
2020-08,6,503,21,530,1.1320754716981132,94.90566037735849,3.9622641509433962
2020-09,10,533,29,572,1.7482517482517483,93.18181818181819,5.06993006993007
2020-10,11,376,3,390,2.8205128205128207,96.41025641025641,0.7692307692307693
2020-11,4,385,6,395,1.0126582278481013,97.46835443037975,1.518987341772152
2020-12,4,461,7,472,0.847457627118644,97.66949152542372,1.4830508474576272
2021-01,2,397,7,406,0.49261083743842365,97.78325123152709,1.7241379310344827
2021-02,4,265,3,272,1.4705882352941178,97.42647058823529,1.1029411764705883
2021-03,3,314,3,320,0.9375,98.125,0.9375
2021-04,1,300,10,311,0.3215434083601286,96.46302250803859,3.215434083601286
2021-05,5,333,7,345,1.4492753623188406,96.52173913043478,2.028985507246377
2021-06,4,339,3,346,1.1560693641618498,97.97687861271676,0.8670520231213873
2021-07,4,349,5,358,1.1173184357541899,97.48603351955308,1.3966480446927374
2021-08,8,418,8,434,1.8433179723502304,96.31336405529954,1.8433179723502304
2021-09,2,364,5,371,0.5390835579514824,98.11320754716981,1.3477088948787062
2021-10,4,337,9,350,1.1428571428571428,96.28571428571429,2.5714285714285716
